record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
61751,S92000003,P,1,2,6,2,2,1,1,1,2,5,X,X,X,3
61918,S92000003,P,1,1,2,1,1,1,1,1,1,4,X,X,X,3
61921,S92000003,P,1,1,2,1,1,1,1,3,6,4,X,X,X,4
61979,S92000003,P,1,2,6,2,2,2,3,1,2,5,X,X,X,4
62026,S92000003,P,1,2,8,2,2,1,1,1,9,5,X,X,X,4
62042,S92000003,C,X,2,2,1,1,2,2,3,9,4,X,X,X,X
62050,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
62056,S92000003,P,4,1,2,1,2,1,1,1,9,3,X,X,X,4
62204,S92000003,P,1,1,6,2,2,2,2,3,1,5,X,X,X,4
62233,S92000003,P,1,2,7,2,2,1,3,1,2,5,X,X,X,4
62295,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
62343,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
62357,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
62462,S92000003,P,0,2,7,5,2,1,2,1,2,5,X,X,X,4
62532,S92000003,P,2,1,2,1,2,1,1,1,1,3,X,X,X,4
62534,S92000003,P,0,1,2,1,2,1,1,1,1,3,X,X,X,4
62571,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
62706,S92000003,P,5,1,2,1,2,2,2,3,1,3,X,X,X,4
